year,count
1944,1357
1945,1134
1943,691
1969,372
1946,355
1942,348
1970,333
1972,325
1940,301
1968,294
1948,289
1973,284
1951,284
1993,282
1947,281
1977,275
1967,268
1995,266
1971,262
1992,257
1989,256
1950,252
1996,250
1994,250
1991,250
1979,249
1978,248
1974,247
2019,245
1975,244
1949,243
1965,243
1990,243
1980,242
1953,239
1999,236
2018,234
1962,232
2014,231
1964,231
1983,230
1997,230
1952,229
1958,228
1998,227
2006,227
2007,225
2001,224
2002,224
2015,224
1961,223
1954,222
1941,222
2005,221
1987,221
2008,219
1957,219
1976,219
2003,218
1960,218
2000,216
1966,214
1985,210
2013,210
2004,209
2016,209
1988,209
1982,208
1981,207
2009,205
1959,203
2020,203
1984,199
2017,196
1955,195
1956,194
1986,194
2011,194
2010,191
1963,185
2021,183
2012,178
2022,168
1938,70
1939,66
2023,56
1936,49
1937,45
1935,35
unknown,32
1930,30
1934,24
1929,24
1931,19
1933,16
1932,14
1928,13
1923,8
1921,7
1920,4
1926,4
1924,3
1922,3
1925,2
1927,2
1919,2
