location,count
Havana-JosÃ© Mar...,105
Miami Internatio...,71
unknown,65
Beirut Internati...,48
New York-John F....,44
Amsterdam-Schiph...,44
Chicago-O'Hare I...,40
Kinshasa-N'Djili...,31
BogotÃ¡-Eldorado...,31
Waalhaven,29
Kabul Airport (KBL),28
SÃ£o Paulo-Congo...,27
London-Heathrow ...,26
Hong Kong-Kai Ta...,24
Istanbul-AtatÃ¼r...,24
Rio de Janeiro-S...,24
Havana,24
Malta-Luqa Airpo...,23
Moskva-Vnukovo A...,23
ZÃ¼rich-Kloten A...,23
New York-La Guar...,23
"Ford Island NAS,...",23
San Francisco In...,23
Madrid-Barajas A...,22
Washington-Dulle...,21
near Kunming,21
Tehran-Mehrabad ...,21
Khartoum Interna...,21
Khartoum-Civil A...,21
KÃ¸benhavn-Kastr...,20
Paris-Charles de...,20
London-Stansted ...,20
Tripoli Internat...,20
Las Vegas-McCarr...,20
Boston-Logan Int...,20
Cairo Internatio...,19
Detroit-Metropol...,19
Buenos Aires-Jor...,19
Anchorage Intern...,19
near Den Haag,19
Los Angeles Inte...,19
Paris-Orly Airpo...,19
Sedalia Army Air...,19
Moskva-Sheremety...,18
Kunming-Wujiaba ...,18
Denver Internati...,18
Paris-Le Bourget...,17
Rio de Janeiro-G...,17
Dallas/Fort Wort...,17
"Miami, FL",17
Tokyo-Haneda Air...,17
Lagos-Murtala Mu...,17
near Myitkyina,17
Phnom Penh-Poche...,17
Denver-Stapleton...,17
near Sicily,16
Angeles City-Cla...,16
Chabua Airfield,16
Port Harcourt Ai...,16
Yangon-Mingalado...,16
Calcutta-Dum Dum...,16
Buenos Aires/Eze...,16
Roma-Fiumicino A...,16
Frankfurt Intern...,16
La Paz-El Alto A...,16
San Juan-Luis Mu...,15
Newark Internati...,15
near Wesel,15
Manila Internati...,15
Fort Lauderdale-...,15
Goma Airport (GOM),15
Charlotte-Dougla...,15
Roma-Ciampino Ai...,15
Vancouver Intern...,15
Stockholm-Arland...,15
Luliang,15
Berlin-Tempelhof...,15
Fayetteville-Pop...,14
GenÃ¨ve-Cointrin...,14
Jorhat (JRH),14
Vientiane-Wattay...,14
Wamena Airport (...,13
South Pacific,13
Toronto-Pearson ...,13
near BogotÃ¡-Eldorado...,13
Shannon Airport ...,13
Topeka-Forbes Fi...,13
Nashville-John C...,13
Bangkok Internat...,13
Taipei,13
Quito-Mariscal S...,13
Santiago Airport...,12
Atsugi NAS (NJA),12
Rotterdam,12
Warszawa-Okecie ...,12
Saigon-Tan Son N...,12
Mexico City-Beni...,12
Kunming,12
Chicago-Midway A...,12
Lahore Airport (...,12
near Kabul Airport (KBL),12
Philadelphia Int...,12
near Bastogne,12
Atlanta-William ...,12
Delhi-Indira Gan...,12
Vieques Airport ...,12
Baltimore/Washin...,11
Kunming Airport ...,11
Delhi-Palam Airp...,11
Barcelona Airpor...,11
Atlantic Ocean,11
near Sverdlovsk-Kolts...,11
Lubbock-South Pl...,11
Nairobi-Wilson A...,11
Karachi Internat...,11
Sydney-Kingsford...,11
London Airport (...,11
near Yunnanyi,11
Berlin-SchÃ¶nefe...,10
"Chicago, IL",10
Irkutsk Airport ...,10
near SÃ£o Paulo-Congo...,10
Manila-Ninoy Aqu...,10
Singapore-Seleta...,10
Seattle/Tacoma I...,10
Creta,10
Saint Louis-Lamb...,10
Nairobi-Jomo Ken...,10
Laredo Internati...,10
Addis Ababa-Bole...,10
Hsinching Airfie...,10
"Darwin Airport, ...",10
Anchorage-Elmend...,10
Dallas-Love Fiel...,10
Sana'a Internati...,10
Uli Airstrip,10
Montreal-Dorval ...,10
Moskva-Domodedov...,10
Melbourne-Tullam...,10
Oslo-Fornebu Air...,10
Mohanbari Air Ba...,10
Bombay-Santacruz...,9
Manaus-Eduardo G...,9
MÃ¼nchen-Riem Ai...,9
Southend Municip...,9
Sicily,9
Houston-William ...,9
"near Anchorage, AK",9
Sookerating Air ...,9
Luanda-4 de Feve...,9
